"In-Situ Inc.","Troll",,,,,
,,,,,,
"Report generated:",10/2/2003,15:16:09,,,,
"Report from file:","J:\shreiner\SsFL\Northeast Area Studies\Pumping Tests\C-1\bin Files\New to be updated\SN13360 2003-08-25 110000 WS-14 C1 P-test.bin",,,,,
"DataMgr Version",3.7,,,,,
,,,,,,
"Serial number:",13360,,,,,
"Firmware Version",7.1,,,,,
"Unit name: ","SP-4000",,,,,
,,,,,,
"Test name:",,"WS-14 C1 P-test",,,,
,,,,,,
"Test defined on:",8/21/2003,11:10:26,,,,
"Test scheduled for:",8/25/2003,11:00:00,,,,
"Test started on:",8/25/2003,11:00:00,,,,
"Test stopped on:","N/A","N/A",,,,
"Test extracted on:",9/30/2003,10:50:15,,,,
,,,,,,
"Data gathered using Logarithmic testing",,,,,,
"   Maximum time between data points:      10.0000","Minutes.",,,,,
"   Number of data samples:",5316,,,,,
,,,,,,
,,,,,,
"TOTAL DATA SAMPLES",5316,,,,,
,,,,,,
"Channel number [2]",,,,,,
"  Measurement type:","Pressure",,,,,
"  Channel name:","WS14 dtw",,,,,
37858.91509259260000000000,657.7380,10.9623,0.4568,353.9950,-0.0500,1524.2350
37858.92203703700000000000,667.7380,11.1290,0.4637,353.9810,-0.0640,1524.2490
37858.92898148150000000000,677.7380,11.2956,0.4707,353.9950,-0.0500,1524.2350
37858.93592592590000000000,687.7380,11.4623,0.4776,353.9950,-0.0500,1524.2350
37858.94287037040000000000,697.7380,11.6290,0.4845,353.9950,-0.0500,1524.2350
37858.94981481480000000000,707.7380,11.7956,0.4915,353.9950,-0.0500,1524.2350
37858.95675925930000000000,717.7380,11.9623,0.4984,353.9950,-0.0500,1524.2350
37858.96370370370000000000,727.7380,12.1290,0.5054,353.9950,-0.0500,1524.2350
37858.97064814810000000000,737.7380,12.2956,0.5123,353.9950,-0.0500,1524.2350
37858.97759259260000000000,747.7380,12.4623,0.5193,354.0090,-0.0360,1524.2210
37858.98453703700000000000,757.7380,12.6290,0.5262,354.0090,-0.0360,1524.2210
37858.99148148150000000000,767.7380,12.7956,0.5332,354.0090,-0.0360,1524.2210
37858.99842592590000000000,777.7380,12.9623,0.5401,354.0090,-0.0360,1524.2210
37859.00537037040000000000,787.7380,13.1290,0.5470,354.0090,-0.0360,1524.2210
37859.01231481480000000000,797.7380,13.2956,0.5540,353.9950,-0.0500,1524.2350
37859.01925925930000000000,807.7380,13.4623,0.5609,353.9950,-0.0500,1524.2350
37859.02620370370000000000,817.7380,13.6290,0.5679,353.9950,-0.0500,1524.2350
37859.03314814810000000000,827.7380,13.7956,0.5748,353.9950,-0.0500,1524.2350
37859.04009259260000000000,837.7380,13.9623,0.5818,353.9950,-0.0500,1524.2350
37859.04703703700000000000,847.7380,14.1290,0.5887,353.9950,-0.0500,1524.2350
37859.05398148150000000000,857.7380,14.2956,0.5957,353.9810,-0.0640,1524.2490
37859.06092592590000000000,867.7380,14.4623,0.6026,353.9810,-0.0640,1524.2490
37859.06787037040000000000,877.7380,14.6290,0.6095,353.9950,-0.0500,1524.2350
37859.07481481480000000000,887.7380,14.7956,0.6165,353.9810,-0.0640,1524.2490
37859.08175925930000000000,897.7380,14.9623,0.6234,353.9810,-0.0640,1524.2490
37859.08870370370000000000,907.7380,15.1290,0.6304,353.9810,-0.0640,1524.2490
37859.09564814810000000000,917.7380,15.2956,0.6373,353.9810,-0.0640,1524.2490
37859.10259259260000000000,927.7380,15.4623,0.6443,353.9810,-0.0640,1524.2490
37859.10953703700000000000,937.7380,15.6290,0.6512,353.9620,-0.0830,1524.2680
37859.11648148150000000000,947.7380,15.7956,0.6582,353.9620,-0.0830,1524.2680
37859.12342592590000000000,957.7380,15.9623,0.6651,353.9620,-0.0830,1524.2680
37859.13037037040000000000,967.7380,16.1290,0.6720,353.9620,-0.0830,1524.2680
37859.13731481480000000000,977.7380,16.2956,0.6790,353.9490,-0.0960,1524.2810
37859.14425925930000000000,987.7380,16.4623,0.6859,353.9490,-0.0960,1524.2810
37859.15120370370000000000,997.7380,16.6290,0.6929,353.9490,-0.0960,1524.2810
37859.15814814810000000000,1007.7380,16.7956,0.6998,353.9300,-0.1150,1524.3000
37859.16509259260000000000,1017.7380,16.9623,0.7068,353.9490,-0.0960,1524.2810
37859.17203703700000000000,1027.7380,17.1290,0.7137,353.9300,-0.1150,1524.3000
37859.17898148150000000000,1037.7380,17.2956,0.7207,353.9300,-0.1150,1524.3000
37859.18592592590000000000,1047.7380,17.4623,0.7276,353.9300,-0.1150,1524.3000
37859.19287037040000000000,1057.7380,17.6290,0.7345,353.9300,-0.1150,1524.3000
37859.19981481480000000000,1067.7380,17.7956,0.7415,353.9300,-0.1150,1524.3000
37859.20675925930000000000,1077.7380,17.9623,0.7484,353.9300,-0.1150,1524.3000
37859.21370370370000000000,1087.7380,18.1290,0.7554,353.9300,-0.1150,1524.3000
37859.22064814810000000000,1097.7380,18.2956,0.7623,353.9160,-0.1290,1524.3140
37859.22759259260000000000,1107.7380,18.4623,0.7693,353.9300,-0.1150,1524.3000
37859.23453703700000000000,1117.7380,18.6290,0.7762,353.9300,-0.1150,1524.3000
